Name,"  Сколько времени"
Улучшение (ревью) резюме,1 консультация
"Улучшение (ревью) сопровод/мотивационного письма ",3 рабочих дня
"Поиск работы за рубежом ",3 консультации
Готовое резюме,5 рабочих дней
Резюме: с нуля/ улучшение текущего резюме/ CV для работы в EU ,5 рабочих дней
Готовое сопроводительное письмо,3 рабочих дня
"Тестовое (mock interview) собеседование ",1 консультация
Старт в новой профессии,3 консультации
Смена работы / Cмена карьерного трека,2 консультации
Карьерный рост,1 консультация