Name,"Ситуация: ",Тип консультации
"500 откликов vs 1 правильно оформленное резюме ",,Помощь с резюме
Трудоустройство через стажировку,,Работа за границей
"Оффер после трех интервью ",,"Карьерный рост "
"О важности портфолио для дизайнера ",,Работа за границей
"hr (рекрутерское) и менеджерское интервью на английском ","Олег - senior system analyst. Обладает хорошей тех экспертизой и желанием двигаться в архитекруту. Есть желание найти работу вне РФ. Основная сложность - прохождение интервью на английском ",Работа за границей
"Вкатиться в коммерческую разработку после гос компаний ","Никита middle+ C# разработчик. Основная сложность - переход из гос компаний в коммерческую разработку. Мы провели консультацию по резюме, обсудили возможности поиска работы за границей, поправили резюме",Помощь с резюме
"Первая работа после университета ",Алексей - jun java dev. Мы провели консультацию по сапрезентации на интервью и как правильно сверстать резюме,"Карьерный рост "
Пробить стеклянный потолок,"Соня устроилась после университета в крупный российский банк. А потом наступила весна 2022 и стало довольно сложно расти профессионально (особенно когда часть сеньорных коллег уехали). Запрос был на стратегию карьерного роста, поиск работы удаленно и за границей, смену бизнес-домена","Карьерный рост "
"Тестовое собеседование (mock interview) на позицию Business Analyst ","Максим искал работу в Европе и США, нужно было провести тестовое интервью (мок интервью) по европейским стандартам и понять, к чему готовиться при найме в международные компании",Смена работы
"Хорошее резюме → хорошая работа ","Архип middle react dev с опытом в 2+ года. Нам было нужно сделать ревью резюме для компаний из конкретного сектора (бизнес-домена), по определенным критериям",Помощь с резюме
"В IT из продаж ","Василий решил перейти в PM из Sales. За 2 месяца мы провели несколько консультаций по стратегии поиска работы, составлению резюме, составлению сопроводительного письма и как проходить собеседования. А еще Василий много учился и читал параллельно. ","Карьерный рост "
"Нетворкинг решает ","Николай, как и многие, переехал весной 2022. Основной профиль - дизайн. На консультации мы обсуждали стратегию поиска работы, плюсы нетворкинга в новой среде, правильную самопрезентацию и как закрепиться в конкретной стране ",Работа за границей