Name,"  Сколько времени","Для кого: ","Стоимость ",Что получите:
Старт в новой профессии,3 консультации,"Любой уровень сеньорити (jun/mid/senior/lead). Доступно на русском или английском языках ","$ 360 ",
Готовое резюме,5 рабочих дней,"Любой уровень сеньорити (jun/mid/senior/lead). Доступно на русском или английском языках ","$ 110 ","Резюме, выделяющее вас из потока соискателей, состоящее из нескольких блоков, подсвечивающее ваши сильные стороны. Продающее резюме оформленное в соответствии с международными стандартами, ориентированное на нанимающих менеджеров или hr. "
"Поиск работы за рубежом ",3 консультации,Любой уровень сеньорити (jun/mid/senior/lead). Доступно на английском языке,$360,"Резюме, сопроводительное письмо на английском языке в соответствии с международными стандартами. Интервью на английском языке с упором на культурные особенности и вашу область интересов. Стратегию поиска работы за рубежом на основе моей экспертизы и опыта моих кандидатов, составленную под вас индивидуально"
Смена работы / Cмена карьерного трека,2 консультации,"Любой уровень сеньорити (jun/mid/senior/lead). Доступно на русском или английском языках ","$ 260 ","Проработанные резюме, портфолио и сопроводительное письмо + Стартегия поиска работы под ваш запрос "
Карьерный рост,1 консультация,"Любой уровень сеньорити (jun/mid/senior/lead). Доступно на русском или английском языках ","$ 110 ",
Улучшение (ревью) резюме,1 консультация,"Любой уровень сеньорити (jun/mid/senior/lead). Доступно на русском или английском языках ",$ 70,"Улучшенное резюме, состоящее из нескольких блоков, с подсвеченными сильными сторонами  и понятной презентацией вас, как специалиста.  Продающее резюме оформленное в соответствии с международными стандартами, ориентированное на нанимающих менеджеров или hr в компании, которая вам интересна"
Готовое сопроводительное письмо,3 рабочих дня,"Любой уровень сеньорити (jun/mid/senior/lead). Доступно на русском или английском языках ",$ 80,"Продающее резюме, состоящее из нескольких блоков, с подсвеченными вашими сильными сторонами и  понятной презентацией вас как специалиста"
"Улучшение (ревью) сопровод/мотивационного письма ",3 рабочих дня,"Любой уровень сеньорити (jun/mid/senior/lead). Доступно на русском или английском языках ",$ 70,"Мотивационное/сопроводительное письмо, написанное в соответствии с международными стандартами, ориентированное на конкретную компанию, подчеркивающее ваши сильные стороны как кандидата и специалиста"
"Тестовое (mock interview) собеседование ",1 консультация,"Любой уровень сеньорити (jun/mid/senior/lead). Доступно на русском или английском языках ",$100 / ₽8000,"Возможность безболезненной подготовки к предстоящему интервью. Понимание процесса: этапов, блоков вопросов. Понимание зачем задаются вопросы,  какие характеристики могут раскрыть вас лучше всего для собеседующего. Список компетенций, которые стоит улучшить по итогам интервью "
Резюме: с нуля/ улучшение текущего резюме/ CV для работы в EU ,5 рабочих дней,"Любой уровень сеньорити (jun/mid/senior/lead). Доступно на русском или английском языках ","$ 100 / ₽8000 ","Улучшенное резюме, состоящее из нескольких блоков, с подсвеченными сильными сторонами и понятной презентацией вас, как специалиста. Продающее резюме оформленное в соответствии с международными стандартами, ориентированное на нанимающих менеджеров или hr в компании, которая вам интересна"